p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
8.86834228361396e-33,0.267522181066391,0.975,0.964,3.99678450037914e-28,CD8-LAYN,UBC
9.88009427204683e-33,0.356146504669436,0.475,0.322,4.45276088652607e-28,CD8-LAYN,GZMM
2.88720564476245e-32,0.334714874428199,0.765,0.643,1.30120583998154e-27,CD8-LAYN,PSMB9
5.29764072300256e-32,-0.4417609819997,0.055,0.178,2.38754072104279e-27,CD8-LAYN,MAL
5.67609293907163e-32,-0.497707383764264,0.022,0.13,2.5581015657808e-27,CD8-LAYN,FAAH2
7.08959788300069e-32,-0.510481416918436,0.058,0.181,3.19513997391075e-27,CD8-LAYN,PASK
7.70145559929922e-32,0.377742536191125,0.293,0.173,3.47089200949217e-27,CD8-LAYN,CDK6
8.66417138540682e-32,-0.460111596725606,0.09,0.223,3.90476875997514e-27,CD8-LAYN,FAM65B
8.70057011212855e-32,-0.558864892243434,0.037,0.151,3.9211729381341e-27,CD8-LAYN,KLRG1
9.31660837518751e-32,0.371271202551859,0.31,0.186,4.19880906252951e-27,CD8-LAYN,SUPT3H
1.00705858378661e-31,-0.529184495637146,0.242,0.397,4.53861162540951e-27,CD8-LAYN,GIMAP4
1.0931081952171e-31,0.342229775670448,0.203,0.103,4.92642001420445e-27,CD8-LAYN,CASS4
1.1001781958598e-31,0.409750911976125,0.636,0.52,4.95828309310095e-27,CD8-LAYN,EID1
1.99259850345717e-31,-0.426727169038426,0.652,0.731,8.98024293538076e-27,CD8-LAYN,GLTSCR2
2.20016731628552e-31,0.366653205900021,0.589,0.447,9.91571406103557e-27,CD8-LAYN,RABAC1
2.45741337047879e-31,-0.425050372565837,0.922,0.955,1.10750705780738e-26,CD8-LAYN,RPL27A
5.49786885730724e-31,0.281087458657928,0.137,0.059,2.47777953661123e-26,CD8-LAYN,RGS3
6.63012461000451e-31,0.459868877334829,0.489,0.355,2.98806455923683e-26,CD8-LAYN,CD82
7.59033224770824e-31,-0.403519984950953,0.015,0.118,3.42081093739715e-26,CD8-LAYN,PLAC8
8.64071683394276e-31,0.363378784317901,0.683,0.566,3.89419826272132e-26,CD8-LAYN,C9orf16
